lexeme,INF,GER,PRS.PTCP.SG,PRS.PTCP.PL,PST.PTCP.M.SG,PST.PTCP.F.SG,PST.PTCP.M.PL,PST.PTCP.F.PL,IMP.2SG,IMP.1PL,IMP.2PL,PRS.IND.1SG,PRS.IND.2SG,PRS.IND.3SG,PRS.IND.1PL,PRS.IND.2PL,PRS.IND.3PL,PRS.SBJV.1SG,PRS.SBJV.2SG,PRS.SBJV.3SG,PRS.SBJV.1PL,PRS.SBJV.2PL,PRS.SBJV.3PL,IPRF.IND.1SG,IPRF.IND.2SG,IPRF.IND.3SG,IPRF.IND.1PL,IPRF.IND.2PL,IPRF.IND.3PL,IPRF.SBJV.1SG,IPRF.SBJV.2SG,IPRF.SBJV.3SG,IPRF.SBJV.1PL,IPRF.SBJV.2PL,IPRF.SBJV.3PL,PRET.IND.1SG,PRET.IND.2SG,PRET.IND.3SG,PRET.IND.1PL,PRET.IND.2PL,PRET.IND.3PL,FUT.IND.1SG,FUT.IND.2SG,FUT.IND.3SG,FUT.IND.1PL,FUT.IND.2PL,FUT.IND.3PL,COND.1SG,COND.2SG,COND.3SG,COND.1PL,COND.2PL,COND.3PL,Order
additare,additare,additando,additante,additanti,additato,additata,additati,additate,addita,additiamo,additate,addito,additi,addita,additiamo,additate,additano,additi,additi,additi,additiamo,additiate,additino,additavo,additavi,additava,additavamo,additavate,additavano,additassi,additassi,additasse,additassimo,additaste,additassero,additai,additasti,addito,additammo,additaste,additarono,additero,additerai,additera,additeremo,additerete,additeranno,additerei,additeresti,additerebbe,additeremmo,additereste,additerebbero,1544
agguantare,agguantare,agguantando,agguantante,agguantanti,agguantato,agguantata,agguantati,agguantate,agguanta,agguantiamo,agguantate,agguanto,agguanti,agguanta,agguantiamo,agguantate,agguantano,agguanti,agguanti,agguanti,agguantiamo,agguantiate,agguantino,agguantavo,agguantavi,agguantava,agguantavamo,agguantavate,agguantavano,agguantassi,agguantassi,agguantasse,agguantassimo,agguantaste,agguantassero,agguantai,agguantasti,agguanto,agguantammo,agguantaste,agguantarono,agguantero,agguanterai,agguantera,agguanteremo,agguanterete,agguanteranno,agguanterei,agguanteresti,agguanterebbe,agguanteremmo,agguantereste,agguanterebbero,1545
alleare,alleare,alleando,alleante,alleanti,alleato,alleata,alleati,alleate,allea,alleiamo,alleate,alleo,allei,allea,alleiamo,alleate,alleano,allei,allei,allei,alleiamo,alleiate,alleino,alleavo,alleavi,alleava,alleavamo,alleavate,alleavano,alleassi,alleassi,alleasse,alleassimo,alleaste,alleassero,alleai,alleasti,alleo,alleammo,alleaste,allearono,alleero,alleerai,alleera,alleeremo,alleerete,alleeranno,alleerei,alleeresti,alleerebbe,alleeremmo,alleereste,alleerebbero,1546
appurare,appurare,appurando,appurante,appuranti,appurato,appurata,appurati,appurate,appura,appuriamo,appurate,appuro,appuri,appura,appuriamo,appurate,appurano,appuri,appuri,appuri,appuriamo,appuriate,appurino,appuravo,appuravi,appurava,appuravamo,appuravate,appuravano,appurassi,appurassi,appurasse,appurassimo,appuraste,appurassero,appurai,appurasti,appuro,appurammo,appuraste,appurarono,appurero,appurerai,appurera,appureremo,appurerete,appureranno,appurerei,appureresti,appurerebbe,appureremmo,appurereste,appurerebbero,1547
architettare,architettare,architettando,architettante,architettanti,architettato,architettata,architettati,architettate,architetta,architettiamo,architettate,architetto,architetti,architetta,architettiamo,architettate,architettano,architetti,architetti,architetti,architettiamo,architettiate,architettino,architettavo,architettavi,architettava,architettavamo,architettavate,architettavano,architettassi,architettassi,architettasse,architettassimo,architettaste,architettassero,architettai,architettasti,architetto,architettammo,architettaste,architettarono,architettero,architetterai,architettera,architetteremo,architetterete,architetteranno,architetterei,architetteresti,architetterebbe,architetteremmo,architettereste,architetterebbero,1548
azionare,attsionare,attsionando,attsionante,attsionanti,attsionato,attsionata,attsionati,attsionate,attsiona,attsioniamo,attsionate,attsiono,attsioni,attsiona,attsioniamo,attsionate,attsionano,attsioni,attsioni,attsioni,attsioniamo,attsioniate,attsionino,attsionavo,attsionavi,attsionava,attsionavamo,attsionavate,attsionavano,attsionassi,attsionassi,attsionasse,attsionassimo,attsionaste,attsionassero,attsionai,attsionasti,attsiono,attsionammo,attsionaste,attsionarono,attsionero,attsionerai,attsionera,attsioneremo,attsionerete,attsioneranno,attsionerei,attsioneresti,attsionerebbe,attsioneremmo,attsionereste,attsionerebbero,1549
barcollare,barcollare,barcollando,barcollante,barcollanti,barcollato,barcollata,barcollati,barcollate,barcolla,barcolliamo,barcollate,barcollo,barcolli,barcolla,barcolliamo,barcollate,barcollano,barcolli,barcolli,barcolli,barcolliamo,barcolliate,barcollino,barcollavo,barcollavi,barcollava,barcollavamo,barcollavate,barcollavano,barcollassi,barcollassi,barcollasse,barcollassimo,barcollaste,barcollassero,barcollai,barcollasti,barcollo,barcollammo,barcollaste,barcollarono,barcollero,barcollerai,barcollera,barcolleremo,barcollerete,barcolleranno,barcollerei,barcolleresti,barcollerebbe,barcolleremmo,barcollereste,barcollerebbero,1550
capeggiare,capeggiare,capeggiando,capeggiante,capeggianti,capeggiato,capeggiata,capeggiati,capeggiate,capeggia,capeggiamo,capeggiate,capedgio,capedgi,capeggia,capeggiamo,capeggiate,capeggiano,capedgi,capedgi,capedgi,capeggiamo,capeggiate,capedgino,capeggiavo,capeggiavi,capeggiava,capeggiavamo,capeggiavate,capeggiavano,capeggiassi,capeggiassi,capeggiasse,capeggiassimo,capeggiaste,capeggiassero,capeggiai,capeggiasti,capedgio,capeggiammo,capeggiaste,capeggiarono,capedgero,capedgerai,capedgera,capedgeremo,capedgerete,capedgeranno,capedgerei,capedgeresti,capedgerebbe,capedgeremmo,capedgereste,capedgerebbero,1551
cingere,cingere,cingendo,cingente,cingenti,cinto,cinta,cinti,cinte,cingi,cindʒamo,cingete,cingo,cingi,cinge,cindʒamo,cingete,cingono,cinga,cinga,cinga,cindʒamo,cindʒate,cingano,cingevo,cingevi,cingeva,cingevamo,cingevate,cingevano,cingessi,cingessi,cingesse,cingessimo,cingeste,cingessero,cinsi,cingesti,cinse,cingemmo,cingeste,cinsero,cingero,cingerai,cingera,cingeremo,cingerete,cingeranno,cingerei,cingeresti,cingerebbe,cingeremmo,cingereste,cingerebbero,1552
conficcare,conficcare,conficcando,conficcante,conficcanti,conficcato,conficcata,conficcati,conficcate,conficca,confikchiamo,conficcate,conficco,confikchi,conficca,confikchiamo,conficcate,conficcano,confikchi,confikchi,confikchi,confikchiamo,confikchiate,confikchino,conficcavo,conficcavi,conficcava,conficcavamo,conficcavate,conficcavano,conficcassi,conficcassi,conficcasse,conficcassimo,conficcaste,conficcassero,conficcai,conficcasti,conficco,conficcammo,conficcaste,conficcarono,confikchero,confikcherai,confikchera,confikcheremo,confikcherete,confikcheranno,confikcherei,confikcheresti,confikcherebbe,confikcheremmo,confikchereste,confikcherebbero,1553
