lexeme,INF,GER,PRS.PTCP.SG,PRS.PTCP.PL,PST.PTCP.M.SG,PST.PTCP.F.SG,PST.PTCP.M.PL,PST.PTCP.F.PL,IMP.2SG,IMP.1PL,IMP.2PL,PRS.IND.1SG,PRS.IND.2SG,PRS.IND.3SG,PRS.IND.1PL,PRS.IND.2PL,PRS.IND.3PL,PRS.SBJV.1SG,PRS.SBJV.2SG,PRS.SBJV.3SG,PRS.SBJV.1PL,PRS.SBJV.2PL,PRS.SBJV.3PL,IPRF.IND.1SG,IPRF.IND.2SG,IPRF.IND.3SG,IPRF.IND.1PL,IPRF.IND.2PL,IPRF.IND.3PL,IPRF.SBJV.1SG,IPRF.SBJV.2SG,IPRF.SBJV.3SG,IPRF.SBJV.1PL,IPRF.SBJV.2PL,IPRF.SBJV.3PL,PRET.IND.1SG,PRET.IND.2SG,PRET.IND.3SG,PRET.IND.1PL,PRET.IND.2PL,PRET.IND.3PL,FUT.IND.1SG,FUT.IND.2SG,FUT.IND.3SG,FUT.IND.1PL,FUT.IND.2PL,FUT.IND.3PL,COND.1SG,COND.2SG,COND.3SG,COND.1PL,COND.2PL,COND.3PL,Order
essere,essere,essendo,essente,essenti,stato,stata,stati,state,sii,siamo,siate,sono,sei,e,siamo,siete,sono,sia,sia,sia,siamo,siate,siano,ero,eri,era,eravamo,eravate,erano,fossi,fossi,fosse,fossimo,foste,fossero,fui,fosti,fu,fummo,foste,furono,saro,sarai,sara,saremo,sarete,saranno,sarei,saresti,sarebbe,saremmo,sareste,sarebbero,1
fare,fare,facciendo,facciente,faccienti,fatto,fatta,fatti,fatte,fa,fatsciamo,fate,fatscio,fai,fa,fatsciamo,fate,fanno,fatscia,fatscia,fatscia,fatsciamo,fatsciate,fatsciano,faccievo,faccievi,faccieva,fascievamo,fascievate,faccievano,facciessi,facciessi,facciesse,facciessimo,faccieste,facciessero,feci,facciesti,fescie,facciemmo,faccieste,fesciero,faro,farai,fara,faremo,farete,faranno,farei,faresti,farebbe,faremmo,fareste,farebbero,2
avere,avere,avendo,avente,aventi,avuto,avuta,avuti,avute,abbi,abbiamo,abbiate,ho,hai,ha,abbiamo,abbiate,anno,abbia,abbia,abbia,abbiamo,abbiate,abbiano,avevo,avevi,aveva,avevamo,avevate,avevano,avessi,avessi,avesse,avessimo,aveste,avessero,ebbi,avesti,ebbe,avemmo,aveste,ebbero,avro,avrai,avra,avremo,avrete,avranno,avrei,avresti,avrebbe,avremmo,avreste,avrebbero,3
potere,potere,potendo,potente,potenti,potuto,potuta,potuti,potute,puoi,possiamo,potete,posso,puoi,pwo,possiamo,potete,possono,possa,possa,possa,possiamo,possiate,possano,potevo,potevi,poteva,potevamo,potevate,potevano,potessi,potessi,potesse,potessimo,poteste,potessero,potei,potesti,pote,potemmo,poteste,poterono,potro,potrai,potra,potremo,potrete,potranno,potrei,potresti,potrebbe,potremmo,potreste,potrebbero,4
dire,dire,dicendo,dicente,dicenti,detto,detta,detti,dette,di,dicamo,dite,dico,dici,dice,dicamo,dite,dicono,dica,dica,dica,dicamo,dicate,dicano,dicevo,dicevi,diceva,dicevamo,dicevate,dicevano,dicessi,dicessi,dicesse,dicessimo,diceste,dicessero,dissi,dicesti,disse,dicemmo,diceste,dissero,diro,dirai,dira,diremo,direte,diranno,direi,diresti,direbbe,diremmo,direste,direbbero,5
dovere,dovere,dovendo,dovente,doventi,dovuto,dovuta,dovuti,dovute,devi,dobbiamo,dovete,devo,devi,deve,dobbiamo,dovete,devono,deva,deva,deva,dobbiamo,dobbiate,devano,dovevo,dovevi,doveva,dovevamo,dovevate,dovevano,dovessi,dovessi,dovesse,dovessimo,doveste,dovessero,dovetti,dovesti,dovette,dovemmo,doveste,dovettero,dovro,dovrai,dovra,dovremo,dovrete,dovranno,dovrei,dovresti,dovrebbe,dovremmo,dovreste,dovrebbero,6
volere,volere,volendo,volente,volenti,voluto,voluta,voluti,volute,vuoi,vogliamo,volete,voglio,vuoi,vwole,vogliamo,volete,vogliono,voglia,voglia,voglia,vogliamo,vogliate,vogliano,volevo,volevi,voleva,volevamo,volevate,volevano,volessi,volessi,volesse,volessimo,voleste,volessero,volli,volesti,volle,volemmo,voleste,vollero,vorro,vorrai,vorra,vorremo,vorrete,vorranno,vorrei,vorresti,vorrebbe,vorremmo,vorreste,vorrebbero,7
andare,andare,andando,andante,andanti,andato,andata,andati,andate,va,andiamo,andate,vado,vai,va,andiamo,andate,vanno,vada,vada,vada,andiamo,andiate,vadano,andavo,andavi,andava,andavamo,andavate,andavano,andassi,andassi,andasse,andassimo,andaste,andassero,andai,andasti,ando,andammo,andaste,andarono,andro,andrai,andra,andremo,andrete,andranno,andrei,andresti,andrebbe,andremmo,andreste,andrebbero,8
stare,stare,stando,stante,stanti,stato,stata,stati,state,sta,stiamo,state,sto,stai,sta,stiamo,state,stanno,stia,stia,stia,stiamo,stiate,stiano,stavo,stavi,stava,stavamo,stavate,stavano,stessi,stessi,stesse,stessimo,steste,stessero,stetti,stesti,stette,stemmo,steste,stettero,staro,starai,stara,staremo,starete,staranno,starei,staresti,starebbe,staremmo,stareste,starebbero,9
vedere,vedere,vedendo,vedente,vedenti,visto,vista,visti,viste,vedi,vediamo,vedete,vedo,vedi,vede,vediamo,vedete,vedono,veda,veda,veda,vediamo,vediate,vedano,vedevo,vedevi,vedeva,vedevamo,vedevate,vedevano,vedessi,vedessi,vedesse,vedessimo,vedeste,vedessero,vidi,vedesti,vide,vedemmo,vedeste,videro,vedro,vedrai,vedra,vedremo,vedrete,vedranno,vedrei,vedresti,vedrebbe,vedremmo,vedreste,vedrebbero,10
sapere,sapere,sapendo,sapente,sapenti,saputo,saputa,saputi,sapute,sappi,sappiamo,sappiate,so,sai,sa,sappiamo,sapete,sanno,sappia,sappia,sappia,sappiamo,sappiate,sappiano,sapevo,sapevi,sapeva,sapevamo,sapevate,sapevano,sapessi,sapessi,sapesse,sapessimo,sapeste,sapessero,seppi,sapesti,seppe,sapemmo,sapeste,seppero,sapro,saprai,sapra,sapremo,saprete,sapranno,saprei,sapresti,saprebbe,sapremmo,sapreste,saprebbero,11
dare,dare,dando,dante,danti,dato,data,dati,date,da,diamo,date,do,dai,da,diamo,date,danno,dia,dia,dia,diamo,diate,diano,davo,davi,dava,davamo,davate,davano,dessi,dessi,desse,dessimo,deste,dessero,diedi,desti,diede,demmo,deste,diedero,daro,darai,dara,daremo,darete,daranno,darei,daresti,darebbe,daremmo,dareste,darebbero,12
trovare,trovare,trovando,trovante,trovanti,trovato,trovata,trovati,trovate,trova,troviamo,trovate,trovo,trovi,trova,troviamo,trovate,trovano,trovi,trovi,trovi,troviamo,troviate,trovino,trovavo,trovavi,trovava,trovavamo,trovavate,trovavano,trovassi,trovassi,trovasse,trovassimo,trovaste,trovassero,trovai,trovasti,trovo,trovammo,trovaste,trovarono,trovero,troverai,trovera,troveremo,troverete,troveranno,troverei,troveresti,troverebbe,troveremmo,trovereste,troverebbero,13
mettere,mettere,mettendo,mettente,mettenti,messo,messa,messi,messe,metti,mettiamo,mettete,metto,metti,mette,mettiamo,mettete,mettono,metta,metta,metta,mettiamo,mettiate,mettano,mettevo,mettevi,metteva,mettevamo,mettevate,mettevano,mettessi,mettessi,mettesse,mettessimo,metteste,mettessero,mizi,mettesti,mize,mettemmo,metteste,mizero,mettero,metterai,mettera,metteremo,metterete,metteranno,metterei,metteresti,metterebbe,metteremmo,mettereste,metterebbero,14
parlare,parlare,parlando,parlante,parlanti,parlato,parlata,parlati,parlate,parla,parliamo,parlate,parlo,parli,parla,parliamo,parlate,parlano,parli,parli,parli,parliamo,parliate,parlino,parlavo,parlavi,parlava,parlavamo,parlavate,parlavano,parlassi,parlassi,parlasse,parlassimo,parlaste,parlassero,parlai,parlasti,parlo,parlammo,parlaste,parlarono,parlero,parlerai,parlera,parleremo,parlerete,parleranno,parlerei,parleresti,parlerebbe,parleremmo,parlereste,parlerebbero,15
arrivare,arrivare,arrivando,arrivante,arrivanti,arrivato,arrivata,arrivati,arrivate,arriva,arriviamo,arrivate,arrivo,arrivi,arriva,arriviamo,arrivate,arrivano,arrivi,arrivi,arrivi,arriviamo,arriviate,arrivino,arrivavo,arrivavi,arrivava,arrivavamo,arrivavate,arrivavano,arrivassi,arrivassi,arrivasse,arrivassimo,arrivaste,arrivassero,arrivai,arrivasti,arrivo,arrivammo,arrivaste,arrivarono,arrivero,arriverai,arrivera,arriveremo,arriverete,arriveranno,arriverei,arriveresti,arriverebbe,arriveremmo,arrivereste,arriverebbero,16
pensare,pensare,pensando,pensante,pensanti,pensato,pensata,pensati,pensate,pensa,pensiamo,pensate,penso,pensi,pensa,pensiamo,pensate,pensano,pensi,pensi,pensi,pensiamo,pensiate,pensino,pensavo,pensavi,pensava,pensavamo,pensavate,pensavano,pensassi,pensassi,pensasse,pensassimo,pensaste,pensassero,pensai,pensasti,penso,pensammo,pensaste,pensarono,pensero,penserai,pensera,penseremo,penserete,penseranno,penserei,penseresti,penserebbe,penseremmo,pensereste,penserebbero,17
sembrare,sembrare,sembrando,sembrante,sembranti,sembrato,sembrata,sembrati,sembrate,sembra,sembriamo,sembrate,sembro,sembri,sembra,sembriamo,sembrate,sembrano,sembri,sembri,sembri,sembriamo,sembriate,sembrino,sembravo,sembravi,sembrava,sembravamo,sembravate,sembravano,sembrassi,sembrassi,sembrasse,sembrassimo,sembraste,sembrassero,sembrai,sembrasti,sembro,sembrammo,sembraste,sembrarono,sembrero,sembrerai,sembrera,sembreremo,sembrerete,sembreranno,sembrerei,sembreresti,sembrerebbe,sembreremmo,sembrereste,sembrerebbero,18
prendere,prendere,prendendo,prendente,prendenti,prezo,presa,prezi,preze,prendi,prendiamo,prendete,prendo,prendi,prende,prendiamo,prendete,prendono,prenda,prenda,prenda,prendiamo,prendiate,prendano,prendevo,prendevi,prendeva,prendevamo,prendevate,prendevano,prendessi,prendessi,prendesse,prendessimo,prendeste,prendessero,prezi,prendesti,preze,prendemmo,prendeste,prezero,prendero,prenderai,prendera,prenderemo,prenderete,prenderanno,prenderei,prenderesti,prenderebbe,prenderemmo,prendereste,prenderebbero,19
chiedere,chiedere,chiedendo,chiedente,chiedenti,chiesto,chiesta,chiesti,chieste,chiedi,chiediamo,chiedete,chiedo,chiedi,chiede,chiediamo,chiedete,chiedono,chieda,chieda,chieda,chiediamo,chiediate,chiedano,chiedevo,chiedevi,chiedeva,chiedevamo,chiedevate,chiedevano,chiedessi,chiedessi,chiedesse,chiedessimo,chiedeste,chiedessero,chiezi,chiedesti,chieze,chiedemmo,chiedeste,chiezero,chiedero,chiederai,chiedera,chiederemo,chiederete,chiederanno,chiederei,chiederesti,chiederebbe,chiederemmo,chiedereste,chiederebbero,20
lasciare,lasciare,lasciando,lasciante,lascianti,lasciato,lasciata,lasciati,lasciate,lascia,lasciamo,lasciate,lascio,lasci,lascia,lasciamo,lasciate,lasciano,lasci,lasci,lasci,lasciamo,lasciate,lascino,lasciavo,lasciavi,lasciava,lasciavamo,lasciavate,lasciavano,lasciassi,lasciassi,lasciasse,lasciassimo,lasciaste,lasciassero,lasciai,lasciasti,lascio,lasciammo,lasciaste,lasciarono,lascero,lascerai,lascera,lasceremo,lascerete,lasceranno,lascerei,lasceresti,lascerebbe,lasceremmo,lascereste,lascerebbero,21
sentire,sentire,sentendo,sentente,sententi,sentito,sentita,sentiti,sentite,senti,sentiamo,sentite,sento,senti,sente,sentiamo,sentite,sentono,senta,senta,senta,sentiamo,sentiate,sentano,sentivo,sentivi,sentiva,sentivamo,sentivate,sentivano,sentissi,sentissi,sentisse,sentissimo,sentiste,sentissero,sentii,sentisti,senti,sentimmo,sentiste,sentirono,sentiro,sentirai,sentira,sentiremo,sentirete,sentiranno,sentirei,sentiresti,sentirebbe,sentiremmo,sentireste,sentirebbero,22
portare,portare,portando,portante,portanti,portato,portata,portati,portate,porta,portiamo,portate,porto,porti,porta,portiamo,portate,portano,porti,porti,porti,portiamo,portiate,portino,portavo,portavi,portava,portavamo,portavate,portavano,portassi,portassi,portasse,portassimo,portaste,portassero,portai,portasti,porto,portammo,portaste,portarono,portero,porterai,portera,porteremo,porterete,porteranno,porterei,porteresti,porterebbe,porteremmo,portereste,porterebbero,23
riuscire,riuscire,riusciendo,riusciente,riuscienti,riuscito,riuscita,riusciti,riuscite,riesci,riusciamo,riuscite,riesco,riesci,riesce,riusciamo,riuscite,riescono,riesca,riesca,riesca,riusciamo,riusciate,riescano,riuscivo,riuscivi,riusciva,riuscivamo,riuscivate,riuscivano,riuscissi,riuscissi,riuscisse,riuscissimo,riusciste,riuscissero,riuscii,riuscisti,riusci,riuscimmo,riusciste,riuscirono,riusciro,riuscirai,riuscira,riusciremo,riuscirete,riusciranno,riuscirei,riusciresti,riuscirebbe,riusciremmo,riuscireste,riuscirebbero,24
venire,venire,venendo,venente,venenti,venuto,venuta,venuti,venute,vieni,veniamo,venite,vengo,vieni,viene,veniamo,venite,vengono,venga,venga,venga,veniamo,veniate,vengano,venivo,venivi,veniva,venivamo,venivate,venivano,venissi,venissi,venisse,venissimo,veniste,venissero,venni,venisti,venne,venimmo,veniste,vennero,verro,verrai,verra,verremo,verrete,verranno,verrei,verresti,verrebbe,verremmo,verreste,verrebbero,25
diventare,diventare,diventando,diventante,diventanti,diventato,diventata,diventati,diventate,diventa,diventiamo,diventate,divento,diventi,diventa,diventiamo,diventate,diventano,diventi,diventi,diventi,diventiamo,diventiate,diventino,diventavo,diventavi,diventava,diventavamo,diventavate,diventavano,diventassi,diventassi,diventasse,diventassimo,diventaste,diventassero,diventai,diventasti,divento,diventammo,diventaste,diventarono,diventero,diventerai,diventera,diventeremo,diventerete,diventeranno,diventerei,diventeresti,diventerebbe,diventeremmo,diventereste,diventerebbero,26
cercare,cercare,cercando,cercante,cercanti,cercato,cercata,cercati,cercate,cerca,cerciamo,cercate,cerco,cerci,cerca,cerciamo,cercate,cercano,cerci,cerci,cerci,cerciamo,cerciate,cercino,cercavo,cercavi,cercava,cercavamo,cercavate,cercavano,cercassi,cercassi,cercasse,cercassimo,cercaste,cercassero,cercai,cercasti,cerco,cercammo,cercaste,cercarono,cercero,cercerai,cercera,cerceremo,cercerete,cerceranno,cercerei,cerceresti,cercerebbe,cerceremmo,cercereste,cercerebbero,27
passare,passare,passando,passante,passanti,passato,passata,passati,passate,passa,passiamo,passate,passo,passi,passa,passiamo,passate,passano,passi,passi,passi,passiamo,passiate,passino,passavo,passavi,passava,passavamo,passavate,passavano,passassi,passassi,passasse,passassimo,passaste,passassero,passai,passasti,passo,passammo,passaste,passarono,passero,passerai,passera,passeremo,passerete,passeranno,passerei,passeresti,passerebbe,passeremmo,passereste,passerebbero,28
vivere,vivere,vivendo,vivente,viventi,vissuto,vissuta,vissuti,vissute,vivi,viviamo,vivete,vivo,vivi,vive,viviamo,vivete,vivono,viva,viva,viva,viviamo,viviate,vivano,vivevo,vivevi,viveva,vivevamo,vivevate,vivevano,vivessi,vivessi,vivesse,vivessimo,viveste,vivessero,vissi,vivesti,visse,vivemmo,viveste,vissero,vivro,vivrai,vivra,vivremo,vivrete,vivranno,vivrei,vivresti,vivrebbe,vivremmo,vivreste,vivrebbero,29
tornare,tornare,tornando,tornante,tornanti,tornato,tornata,tornati,tornate,torna,torniamo,tornate,torno,torni,torna,torniamo,tornate,tornano,torni,torni,torni,torniamo,torniate,tornino,tornavo,tornavi,tornava,tornavamo,tornavate,tornavano,tornassi,tornassi,tornasse,tornassimo,tornaste,tornassero,tornai,tornasti,torno,tornammo,tornaste,tornarono,tornero,tornerai,tornera,torneremo,tornerete,torneranno,tornerei,torneresti,tornerebbe,torneremmo,tornereste,tornerebbero,30
rimanere,rimanere,rimanendo,rimanente,rimanenti,rimasto,rimasta,rimasti,rimaste,rimani,rimaniamo,rimanete,rimango,rimani,rimane,rimaniamo,rimanete,rimangono,rimanga,rimanga,rimanga,rimaniamo,rimaniate,rimangano,rimanevo,rimanevi,rimaneva,rimanevamo,rimanevate,rimanevano,rimanessi,rimanessi,rimanesse,rimanessimo,rimaneste,rimanessero,rimazi,rimanesti,rimaze,rimanemmo,rimaneste,rimazero,rimarro,rimarrai,rimarra,rimarremo,rimarrete,rimarranno,rimarrei,rimarresti,rimarrebbe,rimarremmo,rimarreste,rimarrebbero,31
tenere,tenere,tenendo,tenente,tenenti,tenuto,tenuta,tenuti,tenute,tieni,teniamo,tenete,tengo,tieni,tiene,teniamo,tenete,tengono,tenga,tenga,tenga,teniamo,teniate,tengano,tenevo,tenevi,teneva,tenevamo,tenevate,tenevano,tenessi,tenessi,tenesse,tenessimo,teneste,tenessero,tenni,tenesti,tenne,tenemmo,teneste,tennero,terro,terrai,terra,terremo,terrete,terranno,terrei,terresti,terrebbe,terremmo,terreste,terrebbero,32
spiegare,spiegare,spiegando,spiegante,spieganti,spiegato,spiegata,spiegati,spiegate,spiega,spiegiamo,spiegate,spiego,spiegi,spiega,spiegiamo,spiegate,spiegano,spiegi,spiegi,spiegi,spiegiamo,spiegiate,spiegino,spiegavo,spiegavi,spiegava,spiegavamo,spiegavate,spiegavano,spiegassi,spiegassi,spiegasse,spiegassimo,spiegaste,spiegassero,spiegai,spiegasti,spiego,spiegammo,spiegaste,spiegarono,spiegero,spiegerai,spiegera,spiegeremo,spiegerete,spiegeranno,spiegerei,spiegeresti,spiegerebbe,spiegeremmo,spiegereste,spiegerebbero,33
finire,finire,finendo,finente,finenti,finito,finita,finiti,finite,finisci,finiamo,finite,finisco,finisci,finisce,finiamo,finite,finiscono,finisca,finisca,finisca,finiamo,finiate,finiscano,finivo,finivi,finiva,finivamo,finivate,finivano,finissi,finissi,finisse,finissimo,finiste,finissero,finii,finisti,fini,finimmo,finiste,finirono,finiro,finirai,finira,finiremo,finirete,finiranno,finirei,finiresti,finirebbe,finiremmo,finireste,finirebbero,34
capire,capire,capendo,capente,capenti,capito,capita,capiti,capite,capisci,capiamo,capite,capisco,capisci,capisce,capiamo,capite,capiscono,capisca,capisca,capisca,capiamo,capiate,capiscano,capivo,capivi,capiva,capivamo,capivate,capivano,capissi,capissi,capisse,capissimo,capiste,capissero,capii,capisti,capi,capimmo,capiste,capirono,capiro,capirai,capira,capiremo,capirete,capiranno,capirei,capiresti,capirebbe,capiremmo,capireste,capirebbero,35
chiamare,chiamare,chiamando,chiamante,chiamanti,chiamato,chiamata,chiamati,chiamate,chiama,chiamiamo,chiamate,chiamo,chiami,chiama,chiamiamo,chiamate,chiamano,chiami,chiami,chiami,chiamiamo,chiamiate,chiamino,chiamavo,chiamavi,chiamava,chiamavamo,chiamavate,chiamavano,chiamassi,chiamassi,chiamasse,chiamassimo,chiamaste,chiamassero,chiamai,chiamasti,chiamo,chiamammo,chiamaste,chiamarono,chiamero,chiamerai,chiamera,chiameremo,chiamerete,chiameranno,chiamerei,chiameresti,chiamerebbe,chiameremmo,chiamereste,chiamerebbero,36
credere,credere,credendo,credente,credenti,creduto,creduta,creduti,credute,credi,crediamo,credete,credo,credi,crede,crediamo,credete,credono,creda,creda,creda,crediamo,crediate,credano,credevo,credevi,credeva,credevamo,credevate,credevano,credessi,credessi,credesse,credessimo,credeste,credessero,credetti,credesti,credette,credemmo,credeste,credettero,credero,crederai,credera,crederemo,crederete,crederanno,crederei,crederesti,crederebbe,crederemmo,credereste,crederebbero,37
cominciare,cominsciare,cominsciando,cominsciante,cominscianti,cominsciato,cominsciata,cominsciati,cominsciate,cominscia,cominsciamo,cominsciate,cominscio,cominci,cominscia,cominsciamo,cominsciate,cominsciano,cominci,cominci,cominci,cominsciamo,cominsciate,comincino,cominsciavo,cominsciavi,cominsciava,cominsciavamo,cominsciavate,cominsciavano,cominsciassi,cominsciassi,cominsciasse,cominsciassimo,cominsciaste,cominsciassero,cominsciai,cominsciasti,cominscio,cominsciammo,cominsciaste,cominsciarono,cominsciero,cominscierai,cominsciera,cominscieremo,cominscierete,cominscieranno,cominscierei,cominscieresti,cominscierebbe,cominscieremmo,cominsciereste,cominscierebbero,38
scrivere,scrivere,scrivendo,scrivente,scriventi,scritto,scritta,scritti,scritte,scrivi,scriviamo,scrivete,scrivo,scrivi,scrive,scriviamo,scrivete,scrivono,scriva,scriva,scriva,scriviamo,scriviate,scrivano,scrivevo,scrivevi,scriveva,scrivevamo,scrivevate,scrivevano,scrivessi,scrivessi,scrivesse,scrivessimo,scriveste,scrivessero,scrissi,scrivesti,scrisse,scrivemmo,scriveste,scrissero,scrivero,scriverai,scrivera,scriveremo,scriverete,scriveranno,scriverei,scriveresti,scriverebbe,scriveremmo,scrivereste,scriverebbero,39
ricordare,ricordare,ricordando,ricordante,ricordanti,ricordato,ricordata,ricordati,ricordate,ricorda,ricordiamo,ricordate,ricordo,ricordi,ricorda,ricordiamo,ricordate,ricordano,ricordi,ricordi,ricordi,ricordiamo,ricordiate,ricordino,ricordavo,ricordavi,ricordava,ricordavamo,ricordavate,ricordavano,ricordassi,ricordassi,ricordasse,ricordassimo,ricordaste,ricordassero,ricordai,ricordasti,ricordo,ricordammo,ricordaste,ricordarono,ricordero,ricorderai,ricordera,ricorderemo,ricorderete,ricorderanno,ricorderei,ricorderesti,ricorderebbe,ricorderemmo,ricordereste,ricorderebbero,40
continuare,continuare,continuando,continuante,continuanti,continuato,continuata,continuati,continuate,continua,continuiamo,continuate,continuo,continui,continua,continuiamo,continuate,continuano,continui,continui,continui,continuiamo,continuiate,continuino,continuavo,continuavi,continuava,continuavamo,continuavate,continuavano,continuassi,continuassi,continuasse,continuassimo,continuaste,continuassero,continuai,continuasti,continuo,continuammo,continuaste,continuarono,continuero,continuerai,continuera,continueremo,continuerete,continueranno,continuerei,continueresti,continuerebbe,continueremmo,continuereste,continuerebbero,41
perdere,perdere,perdendo,perdente,perdenti,perso,persa,persi,perse,perdi,perdiamo,perdete,perdo,perdi,perde,perdiamo,perdete,perdono,perda,perda,perda,perdiamo,perdiate,perdano,perdevo,perdevi,perdeva,perdevamo,perdevate,perdevano,perdessi,perdessi,perdesse,perdessimo,perdeste,perdessero,persi,perdesti,perse,perdemmo,perdeste,persero,perdero,perderai,perdera,perderemo,perderete,perderanno,perderei,perderesti,perderebbe,perderemmo,perdereste,perderebbero,42
conoscere,conoscere,conosciendo,conosciente,conoscienti,conosciuto,conosciuta,conosciuti,conosciute,conosci,conosciamo,conosciete,conosco,conosci,conosce,conosciamo,conosciete,conoscono,conosca,conosca,conosca,conosciamo,conosciate,conoscano,conoscievo,conoscievi,conoscieva,conoscevamo,conoscevate,conoscievano,conosciessi,conosciessi,conosciesse,conosciessimo,conoscieste,conosciessero,conobbi,conosciesti,conobbe,conosciemmo,conoscieste,conobbero,conoscero,conoscerai,conoscera,conosceremo,conoscerete,conosceranno,conoscerei,conosceresti,conoscerebbe,conosceremmo,conoscereste,conoscerebbero,43
guardare,guardare,guardando,guardante,guardanti,guardato,guardata,guardati,guardate,guarda,guardiamo,guardate,guardo,guardi,guarda,guardiamo,guardate,guardano,guardi,guardi,guardi,guardiamo,guardiate,guardino,guardavo,guardavi,guardava,guardavamo,guardavate,guardavano,guardassi,guardassi,guardasse,guardassimo,guardaste,guardassero,guardai,guardasti,guardo,guardammo,guardaste,guardarono,guardero,guarderai,guardera,guarderemo,guarderete,guarderanno,guarderei,guarderesti,guarderebbe,guarderemmo,guardereste,guarderebbero,44
decidere,decidere,decidendo,decidente,decidenti,decizo,decisa,decizi,decize,decidi,decidiamo,decidete,decido,decidi,decide,decidiamo,decidete,decidono,decida,decida,decida,decidiamo,decidiate,decidano,decidevo,decidevi,decideva,decidevamo,decidevate,decidevano,decidessi,decidessi,decidesse,decidessimo,decideste,decidessero,decizi,decidesti,decize,decidemmo,decideste,decizero,decidero,deciderai,decidera,decideremo,deciderete,decideranno,deciderei,decideresti,deciderebbe,decideremmo,decidereste,deciderebbero,45
restare,restare,restando,restante,restanti,restato,restata,restati,restate,resta,restiamo,restate,resto,resti,resta,restiamo,restate,restano,resti,resti,resti,restiamo,restiate,restino,restavo,restavi,restava,restavamo,restavate,restavano,restassi,restassi,restasse,restassimo,restaste,restassero,restai,restasti,resto,restammo,restaste,restarono,restero,resterai,restera,resteremo,resterete,resteranno,resterei,resteresti,resterebbe,resteremmo,restereste,resterebbero,46
rendere,rendere,rendendo,rendente,rendenti,rezo,resa,rezi,reze,rendi,rendiamo,rendete,rendo,rendi,rende,rendiamo,rendete,rendono,renda,renda,renda,rendiamo,rendiate,rendano,rendevo,rendevi,rendeva,rendevamo,rendevate,rendevano,rendessi,rendessi,rendesse,rendessimo,rendeste,rendessero,rezi,rendesti,reze,rendemmo,rendeste,rezero,rendero,renderai,rendera,renderemo,renderete,renderanno,renderei,renderesti,renderebbe,renderemmo,rendereste,renderebbero,47
rispondere,rispondere,rispondendo,rispondente,rispondenti,risposto,risposta,risposti,risposte,rispondi,rispondiamo,rispondete,rispondo,rispondi,risponde,rispondiamo,rispondete,rispondono,risponda,risponda,risponda,rispondiamo,rispondiate,rispondano,rispondevo,rispondevi,rispondeva,rispondevamo,rispondevate,rispondevano,rispondessi,rispondessi,rispondesse,rispondessimo,rispondeste,rispondessero,rispozi,rispondesti,rispoze,rispondemmo,rispondeste,rispozero,rispondero,risponderai,rispondera,risponderemo,risponderete,risponderanno,risponderei,risponderesti,risponderebbe,risponderemmo,rispondereste,risponderebbero,48
presentare,prezentare,prezentando,prezentante,prezentanti,prezentato,prezentata,prezentati,prezentate,prezenta,prezentiamo,prezentate,prezento,prezenti,prezenta,prezentiamo,prezentate,prezentano,prezenti,prezenti,prezenti,prezentiamo,prezentiate,prezentino,prezentavo,prezentavi,prezentava,prezentavamo,prezentavate,prezentavano,prezentassi,prezentassi,prezentasse,prezentassimo,prezentaste,prezentassero,prezentai,prezentasti,prezento,prezentammo,prezentaste,prezentarono,prezentero,prezenterai,prezentera,prezenteremo,prezenterete,prezenteranno,prezenterei,prezenteresti,prezenterebbe,prezenteremmo,prezentereste,prezenterebbero,49
uscire,usciire,usciendo,usciente,uscienti,uscito,uscita,usciti,uscite,esci,usciamo,uscite,esco,esci,esce,usciamo,uscite,escono,esca,esca,esca,usciamo,usciate,escano,usciivo,usciivi,usciiva,uscivamo,uscivate,usciivano,usciissi,usciissi,usciisse,usciissimo,usciiste,usciissero,usciii,usciisti,uscii,usciimmo,usciiste,usciirono,usciro,uscirai,uscira,usciremo,uscirete,usciranno,uscirei,usciresti,uscirebbe,usciremmo,uscireste,uscirebbero,50
raccontare,raccontare,raccontando,raccontante,raccontanti,raccontato,raccontata,raccontati,raccontate,racconta,raccontiamo,raccontate,racconto,racconti,racconta,raccontiamo,raccontate,raccontano,racconti,racconti,racconti,raccontiamo,raccontiate,raccontino,raccontavo,raccontavi,raccontava,raccontavamo,raccontavate,raccontavano,raccontassi,raccontassi,raccontasse,raccontassimo,raccontaste,raccontassero,raccontai,raccontasti,racconto,raccontammo,raccontaste,raccontarono,raccontero,racconterai,raccontera,racconteremo,racconterete,racconteranno,racconterei,racconteresti,racconterebbe,racconteremmo,raccontereste,racconterebbero,51
nascere,nascere,nasciendo,nasciente,nascienti,nato,nata,nati,nate,nasci,nasciamo,nasciete,nasco,nasci,nasce,nasciamo,nasciete,nascono,nasca,nasca,nasca,nasciamo,nasciate,nascano,nascievo,nascievi,nascieva,nascevamo,nascevate,nascievano,nasciessi,nasciessi,nasciesse,nasciessimo,nascieste,nasciessero,nacqui,nasciesti,nacque,nasciemmo,nascieste,nacquero,nascero,nascerai,nascera,nasceremo,nascerete,nasceranno,nascerei,nasceresti,nascerebbe,nasceremmo,nascereste,nascerebbero,52
